450896,7.640150000000000e+02,8.684500000000000e+01,1.865226200000000e+04
450896,7.415300000000000e+02,9.862600000000000e+01,1.873646900000000e+04
450896,7.575930000000000e+02,1.109410000000000e+02,1.807427100000000e+04
450896,7.826990000000000e+02,9.736199999999999e+01,1.810486500000000e+04
450896,7.921160000000000e+02,9.286900000000000e+01,1.799719200000000e+04
450896,8.361700000000000e+02,9.188900000000000e+01,1.827672800000000e+04
450896,7.558640000000000e+02,9.272100000000000e+01,1.811182100000000e+04
450896,8.014630000000000e+02,8.919199999999999e+01,1.811661600000000e+04
450896,7.604720000000000e+02,9.661400000000000e+01,3.239486700000000e+04
450896,7.591380000000000e+02,8.283499999999999e+01,1.812277200000000e+04
