91792,8.749970000000000e+02,5.507000000000000e+01,3.768945000000000e+03
91792,9.001470000000000e+02,5.469100000000000e+01,2.234669000000000e+03
91792,1.058645000000000e+03,5.431300000000000e+01,2.686100000000000e+03
91792,8.896040000000000e+02,5.480600000000000e+01,1.874447000000000e+03
91792,1.076510000000000e+03,5.447700000000000e+01,2.861262000000000e+03
91792,1.104462000000000e+03,5.438500000000000e+01,2.725255000000000e+03
91792,1.085914000000000e+03,5.495500000000000e+01,2.862855000000000e+03
91792,1.131775000000000e+03,5.402400000000000e+01,2.737200000000000e+03
91792,1.070573000000000e+03,5.443400000000000e+01,2.877019000000000e+03
91792,1.095363000000000e+03,5.394400000000000e+01,2.239232000000000e+03
